Sample in Buffer,Sample in Window,TRIGGER,ADC_data_valid,IF_out[23:0],filt_sec_3_out[33:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,SIGNED
0,0,0,0,1802767,24150103
1,1,0,0,1773741,24150103
2,2,0,0,1773741,24150103
3,3,0,0,1744084,19602137
4,4,0,0,1744084,19602137
5,5,0,0,1744084,19602137
6,6,0,0,1713796,19602137
7,7,0,0,1713796,19602137
8,8,0,1,3158708,19602137
9,9,0,0,3102884,19602137
10,10,0,0,3102884,19602137
11,11,0,0,3047060,19602137
12,12,0,0,3047060,19602137
13,13,0,0,3047060,13442087
14,14,0,0,2990073,13442087
15,15,0,0,2990073,13442087
16,16,0,0,2990073,13442087
17,17,0,0,2933086,13442087
18,18,0,1,4499248,13442087
19,19,0,0,4499248,13442087
20,20,0,0,4411832,13442087
21,21,0,0,4411832,13442087
22,22,0,0,4324416,13442087
23,23,0,0,4324416,6176520
24,24,0,0,4324416,6176520
25,25,0,0,4235216,6176520
26,26,0,0,4235216,6176520
27,27,0,0,4235216,6176520
28,28,0,1,5512528,6176520
29,29,0,0,5512528,6176520
30,30,0,0,5393928,6176520
31,31,0,0,5393928,6176520
32,32,0,0,5393928,6176520
33,33,0,0,5275328,-1597070
34,34,0,0,5275328,-1597070
35,35,0,0,5275328,-1597070
36,36,0,0,5156728,-1597070
37,37,0,0,5156728,-1597070
38,38,0,1,6093010,-1597070
39,39,0,0,6093010,-1597070
40,40,0,0,6093010,-1597070
41,41,0,0,5949510,-1597070
42,42,0,0,5949510,-1597070
43,43,0,0,5949510,-9239397
44,44,0,0,5803140,-9239397
45,45,0,0,5803140,-9239397
46,46,0,0,5659640,-9239397
47,47,0,0,5659640,-9239397
48,48,0,1,6280820,-9239397
49,49,0,0,6118385,-9239397
50,50,0,0,6118385,-9239397
51,51,0,0,6118385,-9239397
52,52,0,0,5959135,-9239397
53,53,0,0,5959135,-16121959
54,54,0,0,5959135,-16121959
55,55,0,0,5799885,-16121959
56,56,0,0,5799885,-16121959
57,57,0,0,5640635,-16121959
58,58,0,1,5844300,-16121959
59,59,0,0,5844300,-16121959
60,60,0,0,5679300,-16121959
61,61,0,0,5679300,-16121959
62,62,0,0,5679300,-16121959
63,63,0,0,5514300,-21678725
64,64,0,0,5514300,-21678725
65,65,0,0,5352600,-21678725
66,66,0,0,5352600,-21678725
67,67,0,0,5352600,-21678725
68,68,0,1,4973826,-21678725
69,69,0,0,4973826,-21678725
70,70,0,0,4973826,-21678725
71,71,0,0,4818888,-21678725
72,72,0,0,4818888,-21678725
73,73,0,0,4663950,-25452690
74,74,0,0,4663950,-25452690
75,75,0,0,4663950,-25452690
76,76,0,0,4512174,-25452690
77,77,0,0,4512174,-25452690
78,78,0,1,4042691,-25452690
79,79,0,0,3906707,-25452690
80,80,0,0,3906707,-25452690
81,81,0,0,3770723,-25452690
82,82,0,0,3770723,-25452690
83,83,0,0,3770723,-27133462
84,84,0,0,3637572,-27133462
85,85,0,0,3637572,-27133462
86,86,0,0,3637572,-27133462
87,87,0,0,3507254,-27133462
88,88,0,1,2887016,-27133462
89,89,0,0,2887016,-27133462
90,90,0,0,2779744,-27133462
91,91,0,0,2779744,-27133462
92,92,0,0,2672472,-27133462
93,93,0,0,2672472,-26582792
94,94,0,0,2672472,-26582792
95,95,0,0,2567532,-26582792
96,96,0,0,2567532,-26582792
97,97,0,0,2567532,-26582792
98,98,0,1,1810641,-26582792
99,99,0,0,1810641,-26582792
100,100,0,0,1735269,-26582792
101,101,0,0,1735269,-26582792
102,102,0,0,1735269,-26582792
103,103,0,0,1661610,-23845949
104,104,0,0,1661610,-23845949
